"TIME","Error cuantizacion","Diente de sierra","VDAC"
0.0002625495439,0.107148,0.517317,0.410156
0.0002631651452,0.108351,0.51852,0.410156
0.0002717835637,0.125194,0.53536,0.410156
0.0002816331847,0.144425,0.554605,0.410156
0.0003013324268,0.182886,0.593058,0.410156
0.000312660001,0.20498,0.615152,0.410156
0.000312662001,0.0877966,0.615156,0.527343
0.0003126785656,0.0878289,0.615188,0.527343
0.0003127233279,0.0879162,0.615275,0.527343
0.0003131423933,0.0887333,0.616092,0.527343
0.0003135681106,0.0895633,0.616922,0.527343
0.0003263396286,0.114457,0.641808,0.527343
0.0003399625811,0.140992,0.668353,0.527343
0.000363441251,0.186682,0.714044,0.527343
0.000363443251,0.0890302,0.714048,0.624999
0.0003634633544,0.0890693,0.714087,0.624999
0.0003635052885,0.0891509,0.714169,0.624999
0.000364013882,0.09014,0.715158,0.624999
0.0003645305484,0.0911448,0.716163,0.624999
0.0003717638784,0.105209,0.730219,0.624999
0.0003965638671,0.153392,0.778411,0.624999
0.000414222501,0.187663,0.812683,0.624999
0.000414224501,0.0900108,0.812687,0.722655
0.0004142448285,0.0900502,0.812727,0.722655
0.0004142865835,0.0901312,0.812808,0.722655
0.0004148008462,0.0911288,0.813805,0.722655
0.0004153232719,0.0921422,0.814819,0.722655
0.0004226372315,0.106327,0.828995,0.722655
0.0004477136644,0.154921,0.877599,0.722655
0.000465003751,0.188391,0.91107,0.722655
0.000465005751,0.0907389,0.911074,0.820312
0.000465026245,0.0907785,0.911114,0.820312
0.0004650678669,0.090859,0.911194,0.820312
0.0004655863402,0.0918622,0.912197,0.820312
0.0004661130433,0.0928813,0.913216,0.820312
0.0004734868863,0.107146,0.927472,0.820312
0.0004987686337,0.156012,0.976349,0.820312
0.000515785001,0.188867,1.0092,0.820312
0.000515787001,0.0912151,1.00921,0.917968
0.0005158076039,0.0912549,1.00925,0.917968
0.0005158491387,0.0913351,1.00933,0.917968
0.0005163703668,0.092341,1.01033,0.917968
0.0005168998684,0.0933629,1.01136,0.917968
0.0005243128899,0.107666,1.02565,0.917968
0.0005497289639,0.156666,1.07466,0.917968
0.000566566251,0.189092,1.10709,0.917968
0.000566568251,0.0914402,1.10709,1.01562
0.0005665889053,0.09148,1.10713,1.01562
0.0005666303991,0.0915599,1.10721,1.01562
0.0005671529293,0.0925657,1.10822,1.01562
0.0005676837536,0.0935875,1.10924,1.01562
0.0005751152941,0.10789,1.12353,1.01562
0.0006005948615,0.156886,1.17254,1.01562
0.000617347501,0.189067,1.20472,1.01562
0.000617349501,0.0914148,1.20473,1.11328
0.0006173701495,0.0914545,1.20477,1.11328
0.0006174116479,0.0915341,1.20485,1.11328
0.000617934031,0.0925371,1.20585,1.11328
0.0006184647059,0.0935561,1.20687,1.11328
0.0006258941546,0.107818,1.22112,1.11328
0.0006513665502,0.156675,1.26999,1.11328
0.000668128751,0.188791,1.30211,1.11328
0.000668130751,0.0911395,1.30211,1.21094
0.0006681513366,0.0911789,1.30215,1.21094
0.0006681928853,0.0912585,1.30223,1.21094
