"TIME","U1(OUT1)","U1(OUT2)","U1(OUT3)","U1(OUT4)","U1(OUT5)","U1(OUT6)","U1(OUT7)","U1(OUT8)"
0,"SLO","SLO","SLO","SLO","SLO","SLO","SLO","SLO"
5.869375e-005,"SLO","SHI","SLO","SLO","SLO","SLO","SLO","SLO"
0.015,"SLO","SHI","SLO","SLO","SLO","SLO","SLO","SLO"
