Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
50.00000000000005,0.02900121929184988,-41.09695332239863,124.2583427823891
50.23078951391981,0.02822097611242015,-40.59027742169118,125.1879246986313
50.46264430383427,0.0303930600348898,-40.82645112594062,121.8333969431833
50.69556928683402,0.03299498292260526,-41.01032726596316,119.2313156061709
50.92956940270589,0.0327448921808968,-40.449762739009,115.2629955959979
51.16464961403776,0.02884460363133631,-40.80610423764428,118.0163639061929
51.40081490632372,0.03376600262651213,-40.57779897412941,118.168583452817
51.63807028806993,0.02848155804374081,-40.59383715244902,125.8817755113513
51.87642079090069,0.0328634071536593,-40.8545285028033,117.9443083955059
52.11587146966526,0.03362549202225334,-41.11044779182861,117.1982591440523
52.35642740254503,0.03154733244156729,-41.09181111600048,113.4881943307215
52.5980936911612,0.02985471340938455,-41.2719279936487,119.5063848860744
52.84087546068298,0.03071202172570753,-40.5839078152955,119.4722152162338
53.08477785993629,0.03139234853553002,-40.57991706879925,119.5350926062475
53.32980606151295,0.03414159496656007,-41.73489082655848,114.1194766426586
53.57596526188038,0.03374116229607069,-41.56116797673737,118.381709964467
53.8232606814918,0.02890619711939695,-41.36882068390171,121.6143782351804
54.07169756489697,0.03405325554340451,-40.67738098005889,112.1479926479814
54.32128118085333,0.02969765782219329,-40.58342221639086,117.9470931728172
54.57201682243788,0.03440667144525088,-41.24453391982141,113.8754186860711
54.82390980715931,0.02897332236101854,-40.22447309581041,117.4394336492602
55.07696547707081,0.02888949206348749,-40.79683591263877,118.6984912934068
55.33118919888337,0.03107546667022125,-40.9576040588756,119.1153604532158
55.58658636407963,0.0339805710287367,-41.85409557510896,116.125138739925
55.84316238902812,0.03410217756038462,-41.88221724099321,112.383752670617
56.10092271509824,0.03482075737038696,-40.52975978769366,109.8629468064483
56.35987280877558,0.03467269808103302,-41.54048585625187,111.9678509576395
56.62001816177792,0.03396064417618089,-41.16059176567916,109.4630062852322
56.88136429117161,0.03028747278288919,-41.25162630338536,115.6639889629086
57.14391673948865,0.03253233409098677,-41.1314834086527,111.1015173885437
57.4076810748442,0.03296609784503729,-41.42800350327354,116.0410801728034
57.67266289105468,0.03107163207468416,-41.15966237608056,105.9624141427799
57.93886780775637,0.03130560077029588,-40.81509481584358,116.3221479354711
58.20630147052464,0.03373084507674735,-41.26128869317049,109.7872397282422
58.47496955099361,0.03309336726487524,-40.35717513994459,109.9970996794439
58.74487774697654,0.03200674284677518,-40.52530945643807,113.9711406784873
59.01603178258655,0.03200677982899182,-40.6399038266224,114.1583194201296
59.28843740835807,0.03262328907520719,-40.46164053261503,110.0398723296223
59.56210040136881,0.03303327379071402,-40.60060824747049,104.0956571439839
59.83702656536224,0.0324180707952466,-40.9811256330289,109.0706228358752
60.11322173087072,0.03200154954395872,-41.6189155611581,107.1774304850049
60.39069175533908,0.0309896285825477,-40.58637169038604,109.4557086956964
60.66944252324893,0.03279120373061847,-40.92152329294254,113.4999296562582
60.9494799462434,0.03170516465311971,-40.78215656516207,104.9322197395084
61.23080996325251,0.03271623620495753,-41.11021088467871,108.302653588129
61.51343854061915,0.0320222978390505,-41.11814180007224,113.3364151233181
61.7973716722256,0.03227055673718544,-41.28352839188933,109.4221124759138
62.08261537962063,0.03248246048677176,-40.98266705321106,108.5929229272735
62.36917571214723,0.03229167068063218,-40.637472074062,109.9459019670766
62.65705874707087,0.03185083502183032,-40.80203069584928,108.6144243820389
62.94627058970843,0.03251556193384489,-40.87745160080601,109.1734709935747
63.23681737355764,0.03202139142810991,-40.99916132410105,106.6434233284714
63.52870526042717,0.03277777502882303,-40.75510592377206,106.8486735346585
63.82194044056727,0.03106660628611813,-41.12789189753209,104.1466227371159
64.11652913280116,0.03151435018548916,-40.86096623130818,107.0279023260094
64.41247758465678,0.03166647688817109,-40.84316393185534,100.6069477372271
64.70979207249938,0.03061598075270627,-41.50704295884588,105.8030732490836
65.00847890166459,0.03152492835337491,-40.93758490271622,104.7857456545954
65.30854440659216,0.0316949253035166,-41.50789981569982,102.4884589676073
65.60999495096021,0.03243281615660509,-40.82734285093469,102.595973899926
65.91283692782044,0.03138723288885623,-41.5905266707128,103.9839445260548
66.21707675973329,0.03253096355517759,-41.32886238867093,99.25782796058382
66.52272089890464,0.03270174613107652,-40.26122778396764,101.3625118773739
66.82977582732217,0.03220209698614374,-41.53985583081887,100.4897414595758
67.13824805689327,0.03160942513547835,-40.81061073694987,96.51957429154675
67.44814412958273,0.03147998534091871,-40.94694709237099,100.4198375525226
67.75947061755188,0.03167787073253151,-40.88945040745366,98.32982910466535
68.07223412329756,0.03209439003000215,-41.28474741825386,104.3259782817949
68.38644127979255,0.03168377031269951,-40.4713478301953,103.4965938632543
68.70209875062582,0.03206442699147645,-41.71322740601148,105.7293324160635
69.01921323014433,0.03201538471203296,-41.19561532299321,99.69181513906608
69.33779144359448,0.0316896310358039,-40.91159874033273,96.7663236447126
69.65784014726522,0.03175632994681352,-40.50814296236524,101.4951337759834
69.97936612863096,0.0315152136391442,-41.21279564971877,103.276816073998
70.30237620649575,0.0315855176791684,-41.20192572215788,102.3986098663881
70.62687723113777,0.03090123289304762,-40.73823595288825,102.0319425438977
70.95287608445466,0.03117733231069545,-41.19649461534577,101.1431203363654
71.28037968010946,0.03242557142154452,-40.5715463755852,92.51327795027457
71.60939496367723,0.03163758083277956,-41.54560483804385,98.25233291903966
71.93992891279234,0.03267247671128726,-40.65172678994796,100.1702044633347
72.27198853729644,0.0317304434894738,-40.80179441883303,98.44390432672105
