Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
50.00000000000005,0.02556410998961197,-0.4456948423057198,-39.92495751711706
50.23078951391981,0.02621480734883904,-0.452701413392224,-40.07983033290706
50.46264430383427,0.02798387667944045,-0.4467789010750279,-40.26847533614652
50.69556928683402,0.03463334300772491,-0.4488018112223086,-40.41683554597454
50.92956940270589,0.0305077862322421,-0.4430755226645089,-40.63484981987827
51.16464961403776,0.02734519140052877,-0.4485558274870733,-40.84150287142869
51.40081490632372,0.03513599227491961,-0.44835570691962,-40.99995153162359
51.63807028806993,0.0282900373097607,-0.4501255558442055,-41.13404536836202
51.87642079090069,0.02663646855555044,-0.4511134137721324,-41.36803227057007
52.11587146966526,0.03558561295001256,-0.4503598283238303,-41.54883232317692
52.35642740254503,0.03351169058129568,-0.4517788985659631,-41.76244251037738
52.5980936911612,0.0289540500118301,-0.4582086683740071,-41.95430259385235
52.84087546068298,0.02815875739291936,-0.4392307258359096,-42.14320808838836
53.08477785993629,0.02997748754119575,-0.4509033506097472,-42.30273663474242
53.32980606151295,0.03288462109529579,-0.4556464822688048,-42.50745097515297
53.57596526188038,0.03542891104077767,-0.4451350118419481,-42.70343349909371
53.8232606814918,0.02889905184048234,-0.4357099924470006,-42.90090872256637
54.07169756489697,0.02755022750481666,-0.4452345249191455,-43.09577490538608
54.32128118085333,0.03444275019588856,-0.4499379951799684,-43.24803816233347
54.57201682243788,0.02561044874517742,-0.4468386049571441,-43.58385198664539
54.82390980715931,0.03420054842647225,-0.4407636397167176,-43.60783651849054
55.07696547707081,0.02907037635726298,-0.445970407919405,-43.96037223129021
55.33118919888337,0.02610931761335817,-0.4415739472402173,-44.10239255644498
55.58658636407963,0.03217604331677614,-0.4398239019520163,-44.3144805461439
55.84316238902812,0.0308090119870409,-0.4407947755939328,-44.52646770704379
56.10092271509824,0.03369353576603035,-0.4505208037782187,-44.79572931948751
56.35987280877558,0.03313773857012468,-0.4437160277662252,-44.90709530720915
56.62001816177792,0.02601780911258677,-0.4476664079879245,-45.19642195152631
56.88136429117161,0.03305863673150979,-0.4478639592301192,-45.35053497497439
57.14391673948865,0.03208818335286093,-0.4337159489985675,-45.61902644466693
57.4076810748442,0.0275397630914818,-0.4429052988553853,-45.79146771603973
57.67266289105468,0.03303166717639823,-0.4498666582255109,-45.98037162234021
57.93886780775637,0.03204623426139989,-0.4430019347464737,-46.22862764485217
58.20630147052464,0.02876260566891373,-0.4454670993598092,-46.44045405278079
58.47496955099361,0.02991778192857502,-0.4495416172861506,-46.6254814383873
58.74487774697654,0.02870686561671913,-0.4381409084748472,-46.89858596972124
59.01603178258655,0.0315884759131002,-0.4432749190247965,-47.04981634240086
59.28843740835807,0.03196800535408515,-0.4439621999400372,-47.24119461722439
59.56210040136881,0.02847841356127197,-0.4336515554862246,-47.53516288532941
59.83702656536224,0.03087512203922407,-0.449594104510508,-47.70513885170703
60.11322173087072,0.02828334145035082,-0.4398728289463741,-47.92952369183001
60.39069175533908,0.03179917575609173,-0.4388753587146658,-48.1441283400622
60.66944252324893,0.03098515041885951,-0.4390660599460008,-48.322920505802
60.9494799462434,0.02926042087629322,-0.4422070308337125,-48.63155916057201
61.23080996325251,0.03109770810656765,-0.4417743262782995,-48.79408367176038
61.51343854061915,0.02891032112952809,-0.4416200984008847,-49.04246119627334
61.7973716722256,0.02951024275525961,-0.4487432128968144,-49.28193844645808
62.08261537962063,0.03091837427030098,-0.4526665532493113,-49.55302148661022
62.36917571214723,0.02918488756644056,-0.4470051337598601,-49.72542543598551
62.65705874707087,0.03059564526944128,-0.4467530984145198,-49.9766354557574
62.94627058970843,0.0310214614276406,-0.4445342918014665,-50.16904593084973
63.23681737355764,0.03022380271870876,-0.4450053741224627,-50.42645883328134
63.52870526042717,0.03102847813893436,-0.4433034858246521,-50.67105151515933
63.82194044056727,0.02967842397254241,-0.4469390032893055,-50.88945164958805
64.11652913280116,0.03036525873578282,-0.4451497409946319,-51.12120790478135
64.41247758465678,0.02948422559187527,-0.4496940487702444,-51.30944666510015
64.70979207249938,0.03017845284687869,-0.4351846030772578,-51.57075057335634
65.00847890166459,0.03086469884773084,-0.4441219058955338,-51.83650368741118
65.30854440659216,0.03032359370796688,-0.4486569543019953,-52.02096326054105
65.60999495096021,0.03024184392337646,-0.4402239257805277,-52.33487067879162
65.91283692782044,0.03128775668722402,-0.4382165234013686,-52.50353642474987
66.21707675973329,0.03088717755880551,-0.4361820589792356,-52.75565524454096
66.52272089890464,0.03088718260032493,-0.4478308202611542,-53.03699746394608
66.82977582732217,0.03031007525765143,-0.4476609415442794,-53.2930142304342
67.13824805689327,0.03040342165204376,-0.4416163323833739,-53.51109909512104
67.44814412958273,0.03068026414039655,-0.4438226129806934,-53.77323809473862
67.75947061755188,0.03073866566399982,-0.4461605907562851,-54.03363910323975
68.07223412329756,0.03008837416938469,-0.4470238974865731,-54.25796121483847
68.38644127979255,0.03011555205689802,-0.4437597987856098,-54.46787026185357
68.70209875062582,0.03105705817959267,-0.4399760806977814,-54.7316892018904
69.01921323014433,0.03057838880824304,-0.4519480306579229,-54.99720081065135
69.33779144359448,0.03032246141482748,-0.4467844575049367,-55.28688622155016
69.65784014726522,0.02951252127815417,-0.4508914632803683,-55.55302855086262
69.97936612863096,0.03008100202622359,-0.4316254174153521,-55.73695628850754
70.30237620649575,0.02992953893113226,-0.4515365245906225,-56.02092365521317
70.62687723113777,0.0304581523131557,-0.4420395380109796,-56.33128581946671
