Time (s),Channel 1 (V),Channel 2 (V)
-0.004595379589049797,1.534970464641233,1.426646054665874
-0.004594129589049797,1.540648423094959,1.434053975546239
-0.004592879589049796,1.546326381548685,1.441461896426607
-0.004591629589049797,1.546326381548685,1.448869817306968
-0.004590379589049796,1.546326381548685,1.448869817306968
-0.004589129589049797,1.552004340002411,1.441461896426603
-0.004587879589049796,1.546326381548685,1.441461896426603
-0.004586629589049797,1.540648423094961,1.434053975546242
-0.004585379589049796,1.534970464641233,1.434053975546239
-0.004584129589049796,1.540648423094956,1.434053975546239
-0.004582879589049797,1.534970464641233,1.434053975546239
-0.004581629589049796,1.534970464641233,1.426646054665874
-0.004580379589049797,1.534970464641233,1.426646054665874
-0.004579129589049796,1.529292506187507,1.426646054665874
-0.004577879589049797,1.534970464641233,1.426646054665874
-0.004576629589049796,1.534970464641233,1.426646054665874
-0.004575379589049797,1.529292506187509,1.426646054665874
-0.004574129589049796,1.529292506187507,1.426646054665874
-0.004572879589049796,1.529292506187507,1.426646054665874
-0.004571629589049797,1.529292506187507,1.426646054665874
-0.004570379589049796,1.529292506187509,1.426646054665874
-0.004569129589049797,1.534970464641233,1.426646054665874
-0.004567879589049796,1.540648423094959,1.434053975546239
-0.004566629589049797,1.540648423094959,1.434053975546239
-0.004565379589049796,1.546326381548685,1.441461896426603
-0.004564129589049797,1.552004340002408,1.448869817306965
-0.004562879589049797,1.557682298456137,1.448869817306968
-0.004561629589049796,1.557682298456134,1.448869817306968
-0.004560379589049797,1.552004340002411,1.448869817306968
-0.004559129589049796,1.552004340002411,1.441461896426603
-0.004557879589049797,1.552004340002411,1.448869817306968
-0.004556629589049796,1.552004340002411,1.441461896426603
-0.004555379589049797,1.546326381548687,1.441461896426603
-0.004554129589049796,1.546326381548685,1.441461896426603
-0.004552879589049797,1.540648423094961,1.434053975546242
-0.004551629589049797,1.540648423094959,1.434053975546239
-0.004550379589049796,1.540648423094959,1.434053975546239
-0.004549129589049797,1.540648423094959,1.434053975546239
-0.004547879589049796,1.540648423094959,1.441461896426603
-0.004546629589049797,1.534970464641233,1.434053975546239
-0.004545379589049796,1.534970464641233,1.434053975546239
-0.004544129589049797,1.534970464641233,1.434053975546239
-0.004542879589049796,1.529292506187507,1.426646054665874
-0.004541629589049796,1.529292506187504,1.426646054665874
-0.004540379589049797,1.523614547733781,1.426646054665874
-0.004539129589049796,1.529292506187507,1.426646054665874
-0.004537879589049797,1.529292506187507,1.426646054665874
-0.004536629589049796,1.529292506187507,1.426646054665874
-0.004535379589049797,1.534970464641233,1.434053975546239
-0.004534129589049796,1.534970464641233,1.434053975546239
-0.004532879589049797,1.540648423094956,1.434053975546239
-0.004531629589049796,1.540648423094959,1.441461896426603
-0.004530379589049796,1.540648423094959,1.4414618964266
-0.004529129589049797,1.540648423094959,1.434053975546239
-0.004527879589049796,1.546326381548685,1.441461896426603
-0.004526629589049797,1.546326381548685,1.441461896426603
-0.004525379589049796,1.540648423094959,1.441461896426603
-0.004524129589049797,1.540648423094959,1.434053975546242
-0.004522879589049796,1.540648423094959,1.434053975546239
-0.004521629589049797,1.540648423094959,1.434053975546239
-0.004520379589049797,1.534970464641233,1.434053975546239
-0.004519129589049796,1.534970464641233,1.434053975546235
-0.004517879589049797,1.534970464641233,1.426646054665874
-0.004516629589049796,1.529292506187507,1.426646054665874
-0.004515379589049797,1.529292506187507,1.426646054665874
-0.004514129589049796,1.529292506187507,1.426646054665874
-0.004512879589049797,1.523614547733783,1.419238133785513
-0.004511629589049796,1.529292506187507,1.426646054665874
-0.004510379589049797,1.523614547733783,1.419238133785513
-0.004509129589049797,1.529292506187507,1.419238133785509
-0.004507879589049796,1.529292506187507,1.426646054665874
-0.004506629589049797,1.529292506187507,1.426646054665874
