"TIME","VDAC"
0.001632287296,2.8125
0.001632972501,2.8125
0.001632974501,2.96875
0.001633036438,2.96875
0.00163353234,2.96875
0.001634036115,2.96875
0.001665270111,2.96875
0.001697511656,2.96875
0.001734535001,2.96875
0.001734537001,3.125
0.001734599774,3.125
0.001735201108,3.125
0.001735811987,3.125
0.001773686457,3.125
0.001785316251,3.125
0.001785318251,3.28125
0.001785377149,3.28125
0.001785887149,3.28125
0.001786399149,3.28125
0.001818143149,3.28125
0.001850911149,3.28125
0.001886878751,3.28125
0.001886880751,3.4375
0.001886942438,3.4375
0.001887406926,3.4375
0.001887878786,3.4375
0.001917134119,3.4375
0.001947333172,3.4375
0.001988441251,3.4375
0.001988443251,3.59375
0.001988505705,3.59375
0.00198906672,3.59375
0.00198963664,3.59375
0.002024971684,3.59375
0.002061446568,3.59375
0.002090003751,3.59375
0.002090005751,3.75
0.002090068947,3.75
0.002090723579,3.75
0.002091388602,3.75
0.002132620015,3.75
0.002140785001,3.75
0.002140787001,3.90625
0.002140848269,3.90625
0.002141259918,3.90625
0.002141678101,3.90625
0.002167605435,3.90625
0.002194369135,3.90625
0.002242347501,3.90625
0.002242349501,4.0625
0.002242411465,4.0625
0.002242910765,4.0625
0.002243417991,4.0625
0.002274865981,4.0625
0.002307328424,4.0625
0.002343910001,4.0625
0.002343912001,4.21874
0.002343974637,4.21874
0.002344558652,4.21874
0.002345151937,4.21874
0.002381935598,4.21874
0.002394691251,4.21874
0.002394693251,4.37499
0.002394751252,4.37499
0.00239543237,4.37499
0.00239611885,4.37499
0.002438680654,4.37499
0.00248261542,4.37499
0.002496253751,4.37499
0.002496255751,4.53124
0.002496317059,4.53124
0.002496733766,4.53124
0.002497157087,4.53124
0.002523402981,4.53124
0.002550495517,4.53124
0.002597816251,4.53124
0.002597818251,4.68749
0.002597880161,4.68749
0.002598372747,4.68749
0.002598873152,4.68749
0.002629898251,4.68749
0.00266192416,4.68749
0.002699378751,4.68749
0.002699380751,4.84374
0.00269944324,4.84374
0.002700008715,4.84374
0.002700583165,4.84374
0.002725868881,4.84374
0.002726081014,4.84374
0.002726997646,4.84374
0.002728927199,4.84374
0.002738019443,4.84374
0.00273967036,4.84374
0.002745486582,4.84374
0.00274851904,4.84374
0.002750450126,4.84374
0.002777485335,4.84374
0.002800941251,4.84374
0.002800943251,0
0.002800943368,0
0.002800943603,0
0.002800944073,0
0.002800945012,0
0.002800946891,0
0.002800950378,0
0.002800952019,0
0.002800952566,0
0.0028009528,0
0.002800952965,0
0.002800953153,0
0.002800953529,0
0.002800954282,0
0.002800955787,0
0.002800958798,0
0.002800964819,0
0.002800976862,0
0.002801000948,0
0.002801001948,0
0.002801003948,0
0.002801007948,0
0.002801015948,0
0.002801031948,0
0.002801063948,0
0.002801127948,0
0.002801255948,0
0.002801511948,0
0.0028016835,0
0.002802023948,0
0.00280246475,0
0.002803047948,0
0.002805095948,0
0.002809191948,0
0.002817383948,0
0.002833767948,0
0.0028516625,0
0.002851722501,0
0.002851724501,0.15625
0.002851782502,0.15625
0.002852462881,0.15625
0.002853148618,0.15625
0.002895664276,0.15625
0.002939551407,0.15625
0.002953285001,0.15625
0.002953287001,0.3125
0.002953348935,0.3125
0.002953844513,0.3125
0.002954347957,0.3125
0.002985561481,0.3125
0.003017781893,0.3125
0.003054847501,0.3125
0.003054849501,0.468749
0.003054912672,0.468749
0.003055564079,0.468749
0.003056225826,0.468749
0.003097254134,0.468749
0.003105628751,0.468749
0.003105630751,0.624999
0.003105692238,0.624999
0.003106131509,0.624999
0.003106577751,0.624999
0.00313424481,0.624999
0.003162804353,0.624999
0.003207191251,0.624999
0.003207193251,0.781249
0.003207255926,0.781249
0.003207844872,0.781249
0.003208443166,0.781249
0.003245537392,0.781249
0.003257972501,0.781249
0.003257974501,0.937499
0.003258035477,0.937499
0.003258410321,0.937499
0.003258791115,0.937499
0.003306771146,0.937499
0.003355512765,0.937499
0.003359535001,0.937499
0.003359537001,1.09375
0.003359599116,1.09375
0.003360117477,1.09375
0.003360644066,1.09375
0.003393292574,1.09375
0.003426994261,1.09375
0.003461097501,1.09375
0.003461099501,1.25
0.003461162736,1.25
0.003461822163,1.25
0.003462492057,1.25
0.003504025497,1.25
0.003511878751,1.25
0.003511880751,1.40625
0.003511942243,1.40625
0.003512382073,1.40625
0.003512828884,1.40625
0.003540531182,1.40625
0.003569127102,1.40625
0.003613441251,1.40625
0.003613443251,1.5625
0.003613505813,1.5625
0.003614080537,1.5625
0.003614664383,1.5625
0.003650862846,1.5625
0.003664222501,1.5625
0.003664224501,1.71875
0.003664282502,1.71875
0.003664774554,1.71875
0.003665270481,1.71875
0.003696017937,1.71875
0.003727757246,1.71875
0.003765785001,1.71875
0.003765787001,1.875
0.00376584883,1.875
0.003766331107,1.875
0.003766821039,1.875
0.003797196847,1.875
0.00382855252,1.875
0.003867347501,1.875
0.003867349501,2.03125
0.003867412331,2.03125
0.003868020743,2.03125
0.003868638814,2.03125
0.003906959164,2.03125
0.003918128751,2.03125
0.003918130751,2.1875
0.003918191786,2.1875
0.003918574091,2.1875
0.003918962464,2.1875
0.0039678975,2.1875
0.004017609282,2.1875
0.004019691251,2.1875
0.004019693251,2.34375
0.004019755238,2.34375
0.00402025753,2.34375
0.004020767794,2.34375
0.004068225158,2.34375
0.004069760035,2.34375
0.004071993436,2.34375
0.004114864664,2.34375
0.004121253751,2.34375
0.004121255751,2.5
0.004121318669,2.5
0.004121938251,2.5
0.004122567667,2.5
0.004161591453,2.5
0.004172035001,2.5
0.004172037001,2.65625
0.004172098089,2.65625
0.00417248699,2.65625
0.004172882065,2.65625
0.004222661495,2.65625
0.004273231074,2.65625
0.004273597501,2.65625
0.004273599501,2.8125
0.004273661471,2.8125
0.004274161544,2.8125
0.004274669555,2.8125
0.004306166235,2.8125
0.004338678936,2.8125
0.004375160001,2.8125
0.004375162001,2.96875
0.004375224831,2.96875
0.004375833302,2.96875
0.004376451432,2.96875
0.00441477545,2.96875
0.004425941251,2.96875
0.004425943251,3.125
0.004426004217,3.125
0.004426377807,3.125
0.004426757327,3.125
0.004474576879,3.125
0.004523155471,3.125
0.004527503751,3.125
0.004527505751,3.28125
0.004527567529,3.28125
0.004528043443,3.28125
0.004528526911,3.28125
0.00455850194,3.28125
0.004589443906,3.28125
0.004629066251,3.28125
0.004629068251,3.4375
0.004629130819,3.4375
0.004629706225,3.4375
0.004630290765,3.4375
0.004666532243,3.4375
0.004679847501,3.4375
0.004679849501,3.59375
0.004679907502,3.59375
0.004680586272,3.59375
0.004681270386,3.59375
0.004723685464,3.59375
0.004767468772,3.59375
0.004781410001,3.59375
0.004781412001,3.75
0.004781473416,3.75
0.004781903605,3.75
0.004782340622,3.75
0.004809435692,3.75
0.004837404796,3.75
0.004882972501,3.75
0.004882974501,3.90625
0.004883036635,3.90625
0.004883557429,3.90625
0.004884086489,3.90625
0.004916888226,3.90625
0.004950748083,3.90625
0.004984535001,3.90625
0.004984537001,4.0625
0.004984599831,4.0625
0.0049852083,4.0625
0.004985826428,4.0625
0.005024150335,4.0625
0.005035316251,4.0625
0.005035318251,4.21874
0.005035376871,4.21874
0.005035886871,4.21874
0.005036398871,4.21874
0.005068142871,4.21874
