"TIME","U1(OUT1)","U1(OUT2)","U1(OUT3)","U1(OUT4)","U1(OUT5)","U1(OUT6)","U1(OUT7)","U1(OUT8)"
0.00385869375,"SLO","SHI","SHI","SLO","SHI","SLO","SHI","SHI"
0.003909475,"SLO","SHI","SHI","SHI","SLO","SLO","SLO","SLO"
0.00396025625,"SLO","SHI","SHI","SHI","SLO","SHI","SLO","SLO"
0.0040110375,"SLO","SHI","SHI","SHI","SHI","SLO","SLO","SHI"
0.00406181875,"SLO","SHI","SHI","SHI","SHI","SHI","SHI","SLO"
0.0041126,"SHI","SLO","SLO","SLO","SLO","SLO","SHI","SHI"
0.00416338125,"SHI","SLO","SLO","SLO","SHI","SLO","SLO","SLO"
0.0042141625,"SHI","SLO","SLO","SLO","SHI","SHI","SLO","SLO"
0.00426494375,"SHI","SLO","SLO","SHI","SLO","SLO","SLO","SHI"
0.004315725,"SHI","SLO","SLO","SHI","SLO","SHI","SHI","SLO"
0.00436650625,"SHI","SLO","SLO","SHI","SHI","SLO","SHI","SHI"
0.0044172875,"SHI","SLO","SLO","SHI","SHI","SHI","SHI","SHI"
0.00446806875,"SHI","SLO","SHI","SLO","SLO","SHI","SLO","SLO"
0.00451885,"SHI","SLO","SHI","SLO","SHI","SLO","SLO","SHI"
0.00456963125,"SHI","SLO","SHI","SLO","SHI","SHI","SLO","SHI"
0.0046204125,"SHI","SLO","SHI","SHI","SLO","SLO","SHI","SLO"
0.00467119375,"SHI","SLO","SHI","SHI","SLO","SHI","SHI","SHI"
0.004721975,"SHI","SLO","SHI","SHI","SHI","SLO","SHI","SHI"
0.00477275625,"SHI","SHI","SLO","SLO","SLO","SLO","SLO","SLO"
0.0048235375,"SHI","SHI","SLO","SLO","SLO","SHI","SLO","SHI"
0.00487431875,"SHI","SHI","SLO","SLO","SHI","SLO","SLO","SHI"
0.0049251,"SHI","SHI","SLO","SLO","SHI","SHI","SHI","SLO"
0.00497588125,"SHI","SHI","SLO","SHI","SLO","SLO","SHI","SHI"
0.0050266625,"SHI","SHI","SLO","SHI","SLO","SHI","SHI","SHI"
0.00507744375,"SHI","SHI","SLO","SHI","SHI","SHI","SLO","SLO"
0.005128225,"SHI","SHI","SHI","SLO","SLO","SLO","SLO","SLO"
0.00517900625,"SHI","SHI","SHI","SLO","SLO","SHI","SLO","SHI"
0.0052297875,"SHI","SHI","SHI","SLO","SHI","SLO","SLO","SHI"
0.00528056875,"SHI","SHI","SHI","SLO","SHI","SHI","SHI","SLO"
0.00533135,"SHI","SHI","SHI","SHI","SLO","SLO","SHI","SLO"
0.00538213125,"SHI","SHI","SHI","SHI","SLO","SHI","SHI","SHI"
0.0054329125,"SHI","SHI","SHI","SHI","SHI","SLO","SHI","SHI"
0.00548369375,"SHI","SHI","SHI","SHI","SHI","SHI","SHI","SHI"
0.005534475,"SLO","SLO","SLO","SLO","SLO","SHI","SLO","SLO"
0.00558525625,"SLO","SLO","SLO","SLO","SHI","SLO","SLO","SHI"
0.0056360375,"SLO","SLO","SLO","SLO","SHI","SHI","SHI","SLO"
0.00568681875,"SLO","SLO","SLO","SHI","SLO","SLO","SHI","SHI"
0.0057376,"SLO","SLO","SLO","SHI","SHI","SLO","SLO","SLO"
0.00578838125,"SLO","SLO","SLO","SHI","SHI","SHI","SLO","SHI"
0.0058391625,"SLO","SLO","SHI","SLO","SLO","SLO","SHI","SLO"
0.00588994375,"SLO","SLO","SHI","SLO","SLO","SHI","SHI","SHI"
0.005940725,"SLO","SLO","SHI","SLO","SHI","SHI","SLO","SLO"
0.00599150625,"SLO","SLO","SHI","SHI","SLO","SLO","SLO","SHI"
0.0060422875,"SLO","SLO","SHI","SHI","SLO","SHI","SHI","SLO"
0.00609306875,"SLO","SLO","SHI","SHI","SHI","SLO","SHI","SHI"
0.00614385,"SLO","SHI","SLO","SLO","SLO","SLO","SLO","SLO"
0.00619463125,"SLO","SHI","SLO","SLO","SLO","SHI","SLO","SHI"
0.0062454125,"SLO","SHI","SLO","SLO","SHI","SLO","SHI","SLO"
0.00629619375,"SLO","SHI","SLO","SLO","SHI","SHI","SHI","SHI"
0.006346975,"SLO","SHI","SLO","SHI","SLO","SHI","SLO","SLO"
0.00639775625,"SLO","SHI","SLO","SHI","SHI","SLO","SLO","SHI"
0.0064485375,"SLO","SHI","SLO","SHI","SHI","SHI","SHI","SLO"
0.00649931875,"SLO","SHI","SHI","SLO","SLO","SLO","SHI","SHI"
0.0065501,"SLO","SHI","SHI","SLO","SLO","SHI","SHI","SHI"
